"state","hhold_size_cat","AGE5P","number_of_people"
"Northern Territory","Medium (2 - 5 people)","0_4",9558
"Northern Territory","Medium (2 - 5 people)","5_9",9282
"Northern Territory","Medium (2 - 5 people)","10_14",8374
"Northern Territory","Medium (2 - 5 people)","15_19",6951
"Northern Territory","Medium (2 - 5 people)","20_24",7729
"Northern Territory","Medium (2 - 5 people)","25_29",11707
"Northern Territory","Medium (2 - 5 people)","30_34",12892
"Northern Territory","Medium (2 - 5 people)","35_39",11614
"Northern Territory","Medium (2 - 5 people)","40_44",9655
"Northern Territory","Medium (2 - 5 people)","45_49",8703
"Northern Territory","Medium (2 - 5 people)","50_54",8619
"Northern Territory","Medium (2 - 5 people)","55_59",7496
"Northern Territory","Medium (2 - 5 people)","60_64",6278
"Northern Territory","Medium (2 - 5 people)","65_69",4734
"Northern Territory","Medium (2 - 5 people)","70_74",3485
"Northern Territory","Medium (2 - 5 people)","75_79",1854
"Northern Territory","Medium (2 - 5 people)","80+",1435
"Northern Territory","Large (6+ people)","0_4",2432
"Northern Territory","Large (6+ people)","5_9",3114
"Northern Territory","Large (6+ people)","10_14",3059
"Northern Territory","Large (6+ people)","15_19",2623
"Northern Territory","Large (6+ people)","20_24",1890
"Northern Territory","Large (6+ people)","25_29",1841
"Northern Territory","Large (6+ people)","30_34",1915
"Northern Territory","Large (6+ people)","35_39",1935
"Northern Territory","Large (6+ people)","40_44",1652
"Northern Territory","Large (6+ people)","45_49",1371
"Northern Territory","Large (6+ people)","50_54",1062
"Northern Territory","Large (6+ people)","55_59",690
"Northern Territory","Large (6+ people)","60_64",581
"Northern Territory","Large (6+ people)","65_69",414
"Northern Territory","Large (6+ people)","70_74",262
"Northern Territory","Large (6+ people)","75_79",121
"Northern Territory","Large (6+ people)","80+",111
"Queensland","Single","0_4",917
"Queensland","Single","5_9",1031
"Queensland","Single","10_14",1006
"Queensland","Single","15_19",3634
"Queensland","Single","20_24",17670
"Queensland","Single","25_29",27145
"Queensland","Single","30_34",26303
"Queensland","Single","35_39",24390
"Queensland","Single","40_44",22892
"Queensland","Single","45_49",27501
"Queensland","Single","50_54",33987
"Queensland","Single","55_59",41141
"Queensland","Single","60_64",45848
"Queensland","Single","65_69",45887
"Queensland","Single","70_74",45777
"Queensland","Single","75_79",36433
"Queensland","Single","80+",53734
"Queensland","Medium (2 - 5 people)","0_4",222941
"Queensland","Medium (2 - 5 people)","5_9",242576
"Queensland","Medium (2 - 5 people)","10_14",247959
"Queensland","Medium (2 - 5 people)","15_19",228110
"Queensland","Medium (2 - 5 people)","20_24",235425
"Queensland","Medium (2 - 5 people)","25_29",254016
"Queensland","Medium (2 - 5 people)","30_34",262255
"Queensland","Medium (2 - 5 people)","35_39",265120
"Queensland","Medium (2 - 5 people)","40_44",246421
"Queensland","Medium (2 - 5 people)","45_49",255409
"Queensland","Medium (2 - 5 people)","50_54",248758
"Queensland","Medium (2 - 5 people)","55_59",228728
"Queensland","Medium (2 - 5 people)","60_64",209082
"Queensland","Medium (2 - 5 people)","65_69",179394
"Queensland","Medium (2 - 5 people)","70_74",158211
"Queensland","Medium (2 - 5 people)","75_79",104876
"Queensland","Medium (2 - 5 people)","80+",93828
"Queensland","Large (6+ people)","0_4",40007
"Queensland","Large (6+ people)","5_9",54429
"Queensland","Large (6+ people)","10_14",59549
"Queensland","Large (6+ people)","15_19",44193
"Queensland","Large (6+ people)","20_24",25169
"Queensland","Large (6+ people)","25_29",18885
"Queensland","Large (6+ people)","30_34",22141
"Queensland","Large (6+ people)","35_39",27750
"Queensland","Large (6+ people)","40_44",26166
"Queensland","Large (6+ people)","45_49",21014
"Queensland","Large (6+ people)","50_54",14046
"Queensland","Large (6+ people)","55_59",9362
"Queensland","Large (6+ people)","60_64",7856
"Queensland","Large (6+ people)","65_69",6576
"Queensland","Large (6+ people)","70_74",5262
"Queensland","Large (6+ people)","75_79",2982
"Queensland","Large (6+ people)","80+",2532
"South Australia","Single","0_4",337
"South Australia","Single","5_9",454
"South Australia","Single","10_14",413
"South Australia","Single","15_19",1276
"South Australia","Single","20_24",5895
"South Australia","Single","25_29",9886
"South Australia","Single","30_34",10262
"South Australia","Single","35_39",9689
"South Australia","Single","40_44",8910
"South Australia","Single","45_49",10942
"South Australia","Single","50_54",14359
"South Australia","Single","55_59",17659
"South Australia","Single","60_64",20235
"South Australia","Single","65_69",19967
"South Australia","Single","70_74",19738
"South Australia","Single","75_79",15731
"South Australia","Single","80+",28054
"South Australia","Medium (2 - 5 people)","0_4",75444
"South Australia","Medium (2 - 5 people)","5_9",80962
"South Australia","Medium (2 - 5 people)","10_14",81017
"South Australia","Medium (2 - 5 people)","15_19",76424
"South Australia","Medium (2 - 5 people)","20_24",83281
"South Australia","Medium (2 - 5 people)","25_29",89673
"South Australia","Medium (2 - 5 people)","30_34",90982
"South Australia","Medium (2 - 5 people)","35_39",91230
"South Australia","Medium (2 - 5 people)","40_44",82168
"South Australia","Medium (2 - 5 people)","45_49",83289
"South Australia","Medium (2 - 5 people)","50_54",85779
"South Australia","Medium (2 - 5 people)","55_59",82496
"South Australia","Medium (2 - 5 people)","60_64",78290
"South Australia","Medium (2 - 5 people)","65_69",68628
"South Australia","Medium (2 - 5 people)","70_74",61356
"South Australia","Medium (2 - 5 people)","75_79",41095
"South Australia","Medium (2 - 5 people)","80+",39735
"South Australia","Large (6+ people)","0_4",10133
"South Australia","Large (6+ people)","5_9",13865
"South Australia","Large (6+ people)","10_14",15078
"South Australia","Large (6+ people)","15_19",11587
"South Australia","Large (6+ people)","20_24",7589
"South Australia","Large (6+ people)","25_29",5423
"South Australia","Large (6+ people)","30_34",5707
"South Australia","Large (6+ people)","35_39",7471
"South Australia","Large (6+ people)","40_44",7159
"South Australia","Large (6+ people)","45_49",5644
"South Australia","Large (6+ people)","50_54",3809
"South Australia","Large (6+ people)","55_59",2318
"South Australia","Large (6+ people)","60_64",1773
"South Australia","Large (6+ people)","65_69",1396
"South Australia","Large (6+ people)","70_74",1001
"South Australia","Large (6+ people)","75_79",553
"South Australia","Large (6+ people)","80+",514
"Tasmania","Single","0_4",121
"Tasmania","Single","5_9",111
"Tasmania","Single","10_14",139
"Tasmania","Single","15_19",417
"Tasmania","Single","20_24",1667
"Tasmania","Single","25_29",2944
"Tasmania","Single","30_34",2842
"Tasmania","Single","35_39",2651
"Tasmania","Single","40_44",2513
"Tasmania","Single","45_49",3325
"Tasmania","Single","50_54",4469
"Tasmania","Single","55_59",5888
"Tasmania","Single","60_64",6961
"Tasmania","Single","65_69",6952
"Tasmania","Single","70_74",6880
"Tasmania","Single","75_79",5252
"Tasmania","Single","80+",8306
"Tasmania","Medium (2 - 5 people)","0_4",21971
"Tasmania","Medium (2 - 5 people)","5_9",23700
"Tasmania","Medium (2 - 5 people)","10_14",24895
"Tasmania","Medium (2 - 5 people)","15_19",22614
"Tasmania","Medium (2 - 5 people)","20_24",23146
"Tasmania","Medium (2 - 5 people)","25_29",29153
"Tasmania","Medium (2 - 5 people)","30_34",28713
"Tasmania","Medium (2 - 5 people)","35_39",25950
"Tasmania","Medium (2 - 5 people)","40_44",23508
"Tasmania","Medium (2 - 5 people)","45_49",24888
"Tasmania","Medium (2 - 5 people)","50_54",26310
"Tasmania","Medium (2 - 5 people)","55_59",26003
"Tasmania","Medium (2 - 5 people)","60_64",25805
"Tasmania","Medium (2 - 5 people)","65_69",22674
"Tasmania","Medium (2 - 5 people)","70_74",19671
"Tasmania","Medium (2 - 5 people)","75_79",12670
"Tasmania","Medium (2 - 5 people)","80+",11382
"Tasmania","Large (6+ people)","0_4",3089
"Tasmania","Large (6+ people)","5_9",4316
"Tasmania","Large (6+ people)","10_14",5013
"Tasmania","Large (6+ people)","15_19",3618
"Tasmania","Large (6+ people)","20_24",2084
"Tasmania","Large (6+ people)","25_29",2227
"Tasmania","Large (6+ people)","30_34",2280
"Tasmania","Large (6+ people)","35_39",2511
"Tasmania","Large (6+ people)","40_44",2064
"Tasmania","Large (6+ people)","45_49",1613
"Tasmania","Large (6+ people)","50_54",1103
"Tasmania","Large (6+ people)","55_59",679
"Tasmania","Large (6+ people)","60_64",513
"Tasmania","Large (6+ people)","65_69",388
"Tasmania","Large (6+ people)","70_74",257
"Tasmania","Large (6+ people)","75_79",168
"Tasmania","Large (6+ people)","80+",134
"Victoria","Single","0_4",895
"Victoria","Single","5_9",1305
"Victoria","Single","10_14",1239
"Victoria","Single","15_19",3338
